country_code,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,qc_flag,area,production,yield
AO,Maize,Main,1996,10,1997,4,All (PS),0,11000.0,6710.0,0.61
AO,Maize,Main,1997,10,1998,4,All (PS),0,14000.0,9800.0,0.7
AO,Maize,Main,1998,10,1999,4,All (PS),0,9176.0,8258.0,0.8999564080209241
AO,Maize,Main,1999,10,2000,4,All (PS),0,10002.0,12002.0,1.1999600079984003
AO,Maize,Main,2000,10,2001,4,All (PS),0,6368.0,3821.0,0.6000314070351759
AO,Maize,Main,2001,10,2002,4,All (PS),0,6191.0,4024.0,0.6499757712808916
AO,Maize,Main,2002,10,2003,4,All (PS),0,7818.0,4691.0,0.6000255819902789
AO,Maize,Main,2003,10,2004,4,All (PS),0,11390.0,8542.0,0.7499561018437225
AO,Maize,Main,2004,10,2005,4,All (PS),0,7745.0,3872.0,0.4999354422207876
AO,Maize,Main,2005,10,2006,4,All (PS),0,7813.0,2656.0,0.3399462434404198
AO,Maize,Main,2006,10,2007,4,All (PS),0,6637.0,1991.0,0.2999849329516347
AO,Maize,Main,2007,10,2008,4,All (PS),0,5002.0,3501.0,0.6999200319872051
AO,Maize,Main,2008,10,2009,4,All (PS),0,3071.0,1809.0,0.5890589384565288
AO,Maize,Main,2009,10,2010,4,All (PS),0,16068.0,8506.0,0.5293751555887478
AO,Maize,Main,2010,10,2011,4,All (PS),0,18521.0,11034.0,0.5957561686733978
AO,Maize,Main,2011,10,2012,4,All (PS),0,20433.0,4368.0,0.2137718396711202
AO,Maize,Main,2012,10,2013,4,All (PS),0,20881.0,12999.0,0.6225276567214214
AO,Maize,Main,2013,10,2014,4,All (PS),0,20923.0,13570.0,0.6485685609138269
AO,Maize,Main,2014,10,2015,4,All (PS),0,24618.0,13490.0,0.5479730278657893
AO,Maize,Main,2015,10,2016,4,All (PS),0,24618.0,13490.0,0.5479730278657893
AO,Maize,Main,2016,10,2017,4,All (PS),0,29865.8,17633.0,0.5904077573679594
AO,Maize,Main,1996,10,1997,4,All (PS),0,40000.0,21200.0,0.53
AO,Maize,Main,2002,10,2003,4,All (PS),0,44817.0,22408.0,0.4999888435192003
AO,Maize,Main,2007,10,2008,4,All (PS),0,45619.0,47899.0,1.0499791753436067
AO,Maize,Main,1996,10,1997,4,All (PS),0,11000.0,4576.0,0.416
AO,Maize,Main,1997,10,1998,4,All (PS),0,11000.0,6600.0,0.6
AO,Maize,Main,1998,10,1999,4,All (PS),0,2652.0,1857.0,0.7002262443438914
AO,Maize,Main,1999,10,2000,4,All (PS),0,2950.0,2360.0,0.8
AO,Maize,Main,2000,10,2001,4,All (PS),0,5897.0,4718.0,0.8000678311005596
AO,Maize,Main,2001,10,2002,4,All (PS),0,6015.0,3910.0,0.6500415627597672
AO,Maize,Main,2002,10,2003,4,All (PS),0,6486.0,5189.0,0.8000308356460067
AO,Maize,Main,2003,10,2004,4,All (PS),0,4013.0,3210.0,0.7999003239471717
AO,Maize,Main,2004,10,2005,4,All (PS),0,2372.0,1186.0,0.5
AO,Maize,Main,2005,10,2006,4,All (PS),0,2206.0,1191.0,0.5398912058023572
AO,Maize,Main,2006,10,2007,4,All (PS),0,3245.0,1298.0,0.4
AO,Maize,Main,2007,10,2008,4,All (PS),0,4160.0,4410.0,1.0600961538461535
AO,Maize,Main,2008,10,2009,4,All (PS),0,6063.0,2910.0,0.4799604156358238
AO,Maize,Main,2009,10,2010,4,All (PS),0,8363.0,3874.0,0.4632308980031089
AO,Maize,Main,2010,10,2011,4,All (PS),0,8651.0,3971.0,0.4590220783724424
